Gene	GSM104075	GSM470856	GSM470861	GSM470869	GSM470870	GSM470871	GSM470872	GSM470873	GSM470874	GSM470875	GSM470876	GSM470879	GSM470886	GSM470887	GSM470889	GSM470891	GSM470893	GSM470894	GSM470896
RIPK4	9.59522718690608	9.174569808183149	9.596983655646133	9.652572284476074	9.472831627028688	9.353319566734251	9.492249174351304	9.460241896049176	9.25248315097368	9.768778507029626	9.241523588060264	9.922048985290274	9.593828609116642	9.749232263019673	9.566170097425443	9.530300557063285	9.623235906556998	9.89892551589614	9.981496114092655
SCMH1	6.775757255114695	6.682607181324999	6.782679172681632	6.977730774741411	7.235150106055756	7.198085315441516	6.876385327502702	6.977730774741411	6.9456036872849944	6.911931209977868	6.823172542499333	7.0123525636782285	7.503663907957367	6.942544718808313	6.924362570239139	7.060875367717312	6.706509496395396	6.930857451629382	7.203874067418224
TPK1	5.900318599611639	5.545733036532465	5.263486129563089	5.77580063891647	5.0722686507359445	5.5646975855354	5.5771322756157	5.908455821890983	6.0535186729282335	5.298911532116233	5.659335729377922	5.344410893929843	5.632715635071865	5.417995677006529	5.650440428552179	5.545733036532465	5.0743386229794885	5.417393359274474	5.599898592597869
KLHDC4	7.072392760921583	7.565538872750535	6.962495882313665	7.695419110031985	7.250940316725015	6.745968577558693	6.9683784394672355	6.9533540279339965	7.133464266061229	7.386638018792321	7.2174198424545315	7.599333500696043	7.752122828737115	7.522379121502322	7.386638018792321	7.444159306937063	8.244492868775424	7.651835572971469	7.306288666188739
TRMT61B	7.663247539700726	6.411642139100815	6.90485454158076	6.815517563942692	6.798923946553304	6.8928640503229675	6.8079127068497876	6.449751324576098	5.882113540350039	6.916359399224563	6.283267279919323	7.751421245215255	6.7771624013992335	6.987757130801078	6.740109818942606	6.876440864938818	5.691395825417996	6.432508767171066	6.947500338898297
BACH2	4.496474780547931	4.528840073593453	5.061808836977115	4.826450019299109	4.505070647261564	4.694472301959118	4.67002371964747	4.5926568280226965	5.212308286974868	4.72766960724818	4.704409552668151	4.809390114763718	4.723498043761423	4.73837957495258	4.608165818641386	4.891850359700951	4.996841806865539	4.610235226679796	4.972047475187133
TGFBRAP1	6.749323991912548	6.773138601028192	6.905484745019867	6.898389859582525	6.841401178599473	6.41949299582438	6.921051496640852	6.8818227931289195	7.201506878789412	6.898389859582525	6.8858868796442625	6.810006694756875	7.009648770496516	6.9257348553144125	7.095281594427482	7.115264070734072	6.849685176141816	6.898389859582525	6.9066511052053166
HMGN5	4.992033004369077	5.2469321819879795	5.2865780224241234	5.593280857208103	5.3271840651432685	5.128819133561825	5.224574811292903	5.282721134336301	5.371618119660461	5.259218797340237	5.448225690771473	5.371113036125545	5.031192939657394	5.427184014890929	5.323362239581446	5.3002077804667245	5.454388377802872	5.157549801855036	5.468916636534567
BCL2L14	8.67580919631682	8.933069425723286	7.97399221720732	8.585815067059462	8.176391566406618	7.767995100538641	8.191019046463552	8.708501032383701	8.856085271671674	8.434186280024207	9.17789730590228	8.111431366468265	7.936535890373197	8.630185193134764	8.514314905185795	8.215860772173183	8.525127838617767	8.596950813389702	8.398939149575384
FZD5	6.050092330667043	5.3442740104878546	5.709773411530568	5.270055632625219	5.111918794059891	4.937352665386305	5.05936089496004	5.364965444136505	5.0386817285241925	5.413991133997113	5.24385252721391	5.187961674025598	5.194374358788062	5.033530516663875	5.298839423326916	4.94148299672452	4.804294448400757	4.993963672539044	5.4128949855705955
FAM117A	6.594089409268558	6.757108553569718	6.781848490100823	6.660104061278201	6.837024665548086	6.753506570078638	7.008184112263179	6.605871274312157	6.715496649937038	6.609755980233246	6.559276147280198	7.260117358662531	7.636172698947665	6.871633072208401	6.785600710583147	6.836562968001914	6.66770678029462	6.635592963094951	6.979521053775607
TXNDC5	9.391652427596284	9.11679000088623	9.715480687608927	8.91585847226928	9.6186082821537	9.133065422109006	9.483079663605862	9.722002637610318	9.26943316364171	9.239148711594275	8.87658228705223	9.652990839514215	9.391958287703714	9.239432803397143	9.186159186798156	9.64624229617706	9.26800317046725	9.454974497244594	9.360573963079524
EMC6	8.434892718988909	8.155756105328786	7.921731530285648	8.476650631271127	8.409140184117746	8.464995656690103	8.503311884133794	8.483621401141718	8.302933755936465	8.47870278926137	8.365316862647035	8.305780640100494	8.4244735843315	8.450669034590517	8.315359953073038	8.297030477133859	8.701425149011122	7.917742183123742	8.021469572777029
HDHD3	7.867504534297523	7.418776700187459	7.170977526659898	7.471159609658748	7.258376695692277	7.706779492789838	7.446983759677675	7.933527252283413	7.3562716746184735	7.700767477761379	7.52030564283495	6.970548920228397	7.688783447526649	7.508573012374128	7.713223332928338	7.138185505363762	7.051034574342693	7.446983759677675	7.446983759677675
FBXO38	7.241563136908755	6.993804535155361	6.965548794387159	7.20225021238582	6.609206141385222	6.60924678695408	6.9058026470124165	6.720620081484842	6.845986842196675	7.0694936688092795	6.6544026065369515	7.683446641396229	6.766794442605688	6.928605766389664	6.859435101128176	6.793159080166338	6.911519956085039	7.076575474476133	7.200853422202676
CSRNP2	6.913647093874964	6.378464137719317	6.504547951164686	6.303801261841063	6.6134965455647174	6.134278541729234	6.216501518184333	6.454854018953123	6.263340552002756	6.535811473348354	6.470402145066398	6.845670307005168	6.116678523397175	6.155215908679883	6.670651942842673	6.443085938452935	6.189846468134469	6.3463417895747165	6.538365006726917
SF3B5	10.136870411529998	9.866178816401009	9.732208207097136	9.87522534757365	10.159899597033446	9.46764520458443	10.22087005698512	10.354810463124007	9.648255871717144	10.241259581205366	9.972497570033031	9.96816212319264	10.323989859268597	10.071535402724002	9.76095186356066	9.814447339093604	10.193833641566624	10.067729718703951	9.807227964408316
ABHD17A	9.200327863176176	8.704241571885255	8.843902591050481	8.601800539535155	9.039870704135753	8.635398566577514	8.864057817613741	9.092712760268157	8.291599717822269	8.948310468609542	8.972198850484105	8.545334813718814	9.559941093957573	9.264162100135724	8.793576880226468	8.87895363521529	9.384081141622136	8.970423565426474	8.90304953000217
SH3BGRL3	9.117851913104454	8.843967374067104	8.53945869112442	8.811501119588817	8.66900877400017	9.071937486890388	9.195346741659058	9.128144593763407	8.361085357828054	8.799408655328968	8.668261477173901	8.73268411770732	9.373622896405584	9.198569675640773	8.829664682351167	9.004712847804933	8.68056368197073	8.660943303524085	8.7699130885945
PUS3	7.322293206727387	7.497011564107909	7.634302398238493	7.597615807696252	7.660467929466888	7.21231897313274	7.589472394948178	7.670313253444263	7.907733174284869	7.699965964000459	7.803511358957339	7.619628303764621	7.342026691246955	7.578271098751325	7.5129451788313935	7.599742894762007	7.584652007224918	7.704753300623028	7.7085085657024575
PWWP3A	5.029981401698199	4.8793015918596465	4.989470438829983	5.375081496494039	5.2492257569735905	4.982915943940005	5.348351994578069	5.062287238698108	5.023480351537642	4.997757223577851	4.778000819471324	5.22459454827828	5.090751794236354	5.0045392290532416	5.056830416131938	5.090751794236354	4.759348839633459	5.344395462461896	5.267236144938176
UGT1A8	4.783620081907757	5.059512620713328	5.347177661656751	4.9874826308028615	4.841217116221905	4.9188629873646805	4.750327100461319	4.830071020074381	5.66159212776066	5.188025555959664	4.955146449027428	4.711000093811114	5.224601870531887	5.0795032881295334	5.0261609185599205	4.8113857583186075	5.266736473949322	5.140078491611585	5.137009675270146
GPR27	5.788152418095783	6.23557146365266	5.701239228091258	6.7877106691065245	6.572410222097374	6.620681509879327	6.487098997004628	6.447072426872233	6.608941489965286	6.280897896658884	6.447072426872233	5.880489351118864	6.64375229171709	6.254287693121771	6.669984559580029	6.503198767400189	6.692784338371733	6.1152272896033795	6.103349737143096
LYRM2	5.407204251542077	4.211420450497599	5.034525914692101	4.514383477013848	5.002324023619512	5.309621590455705	4.77506542180487	5.1485107484638455	4.217569693408125	4.997384000580186	4.487213041919939	4.936809734270431	4.755359465237662	4.9639713157881635	4.885672400312439	4.358249557501592	4.000675843788422	4.598768192497897	4.77506542180487
SMG9	7.16753472265405	7.090969189608619	7.141484012507696	7.082605660489749	7.05452055680551	6.852357416959877	6.802181075255904	7.179803706735937	6.774597315415139	7.099657875466112	7.150632621990423	6.875746674373832	7.450321293444881	7.390942262288686	7.319956668654026	7.154633813496888	7.217433127041216	7.1632552441178605	7.397499733931313
OR12D2	5.776222455829886	6.380263875735792	5.780655847417415	6.1717997243709855	6.034396423526901	6.17487918846719	5.8874778100159455	6.0601602971310795	6.350908515985162	5.92442590708722	6.582577104021647	5.717185281140592	6.132142700984407	6.059875583825984	5.90453685419062	6.098620685218559	6.006999691100051	5.894456434542538	5.953241070112563
