Gene	Hyb15	Hyb16	Hyb17	Hyb18	Hyb19	Hyb20	Hyb21	Hyb23	Hyb26	Hyb27	Hyb28	Hyb30	Hyb31	Hyb38	Hyb39	Hyb40	Hyb45	Hyb46	Hyb49	Hyb57	Hyb59	Hyb68	Hyb69	Hyb78	Hyb79	Hyb80	Hyb81	Hyb82
NOLC1	7.983045461653379	8.00661333944289	7.999950201358651	7.873511470902713	7.696881370097909	7.485797416858447	8.119510721692249	8.0042061500381525	7.767016253668061	7.674431772393788	7.654370659180935	7.984880219310625	7.88798326283933	7.965023302006045	7.9743132303821085	7.594820192525595	7.891138212228863	7.761647248311841	7.712352406796442	7.897862298010803	7.384871405490334	7.775677027356843	7.948364872969781	7.98360140220272	8.013626714873753	7.888136377674687	7.81500221245009	8.07272690299307
SLC22A4	9.326361828276603	9.267706510353104	8.197239968603741	8.522432864167142	8.849737253962079	7.458872786322605	7.66936969771175	8.665428511291918	8.724929235726698	8.66651633104408	9.084168948659835	9.327991358763338	8.943114324156042	9.84143676123577	9.659219323802366	8.288830418911573	7.954880905169215	10.18968929183523	8.971672572245652	9.998731752235267	9.621622262319107	9.330876046074264	9.54354775791218	9.46526134462732	10.522769672546364	8.665675390308088	9.944692001859702	7.498885716711642
CCNA1	5.458224066681766	5.136727371234023	5.153587569350601	5.569739439075353	4.601281303927378	4.291766701265768	5.008300548513427	5.842012904076078	5.72311405901277	5.411436833637904	4.844272347928376	4.7362039636038595	5.452212942622665	5.2778869852734935	5.530579061475698	4.554514915569511	4.269303262940593	4.668499672624593	6.614283581501647	5.925725530350891	4.165180077819257	5.170620005225699	5.629794373982824	6.024223083558815	6.826274979388817	5.541926219137468	6.95336733886027	8.850694046704843
FOXJ1	8.065491245204475	8.080793539965759	7.686009652451088	7.80868849590928	7.591287114366874	7.471742333730727	7.272685609211116	7.82077161423388	7.338476338578189	7.360942923361922	7.0727663043692575	8.102360639389179	7.650432490816035	8.617312232660428	8.521305508318937	7.394213844363188	7.613121427526652	9.066743697520266	7.98867626860997	8.422069571019167	7.84046666757642	8.097520369460533	8.39707556967958	8.040733355727802	8.842897868940689	7.46617648912027	8.320001350164404	8.904712719311934
IL27RA	5.925613216667017	6.261387694965514	6.301152781341447	5.595490703711532	5.524865790929067	5.4517398548980545	5.971228997988394	5.605026902030569	6.168216048474537	5.962747156997958	6.030117319623272	5.895142861712871	5.873874630137655	6.72994983523389	6.2119896995037625	6.191598149221056	6.650837840433492	6.316177418148187	5.711377446152637	5.870527417879954	5.488303333889251	5.841431653818905	5.651455671129568	6.001491658752672	6.72609705479103	6.976692570262097	6.273491743114424	6.158808501873115
CTSE	5.567745967481617	5.916896546313753	5.879984789225359	5.299986007579959	5.532373123980328	5.343231152626792	5.4752611920005325	5.251836516031533	5.464924122098267	5.486719208179617	5.620380594396855	5.19970223161663	5.441284164887616	5.244897759088172	5.487195719665459	5.586102932876936	5.125679919695111	5.106645979442427	5.2154771188981295	5.57280090523033	5.517440793092735	5.358219405678656	5.385942443426794	5.574831202575665	5.344497843566237	5.604080170474962	5.436348416535628	5.399972109486727
GTF2E1	7.401113335899276	7.4012404798890445	7.5489665571787485	7.6456013232436435	7.533852538782137	7.698336336108088	7.789820893194947	7.37823064931181	7.75142353355572	7.620490217809588	7.765320922571101	7.314140519485719	7.544624730154286	7.37378534308954	7.612912275220206	7.194957114314895	7.539932049430848	7.730320884182087	7.637394087522947	7.833756001655826	7.669345052421464	7.655221645426736	7.783111679243841	7.558297452828728	7.854644657103841	7.388962953181527	7.570438221541843	7.541512244171272
PLCL1	5.3496529576091	5.388747359089278	5.113423655354434	5.120688495652667	5.884082026882881	5.462310206109989	5.030785464516385	5.019713458653075	5.43701246956536	5.647602118398552	4.8288977949447265	5.620005501223157	4.828487090919063	5.581490529895302	4.841129747352502	6.451966263752428	5.219796712574716	4.914929033360151	5.125953959368385	5.11456685199597	5.5570337093825	5.110972348424019	4.761635120739589	4.843639924037346	6.310763106296267	6.436371032584761	5.862692124552339	6.180243093222009
IL6R	7.820872319343633	8.15759514841345	8.065015783552905	7.708727970072499	7.6515797600293665	7.772236632659377	7.579307977290606	7.019439815835882	7.692525858870647	7.46899195898484	7.688266260781106	7.632604415269146	7.893186006241304	7.801879395931294	7.830486355848642	7.5218552322379555	7.698807951636936	8.02867869741841	7.571511360284867	7.757137865537576	7.570722328351319	7.58226437459279	7.712250303346503	7.745192745431611	8.006320451134762	8.061563902584183	7.680322842370901	7.6115845698675
CA1	5.865581258014955	6.474262819269219	6.148683802320637	5.5691217255643615	5.682671788177038	5.51428143743855	5.867060697611155	5.7764760015662615	5.7890757644909545	5.939984483703493	5.612016122774048	5.6779014752195245	5.698084598382294	5.552659227568312	5.761063451231977	5.779639073107688	5.719148545341813	5.5495204880706615	5.541851069802194	5.750138101434637	5.896712685178797	5.614146184391268	5.480763103367915	5.733711450522814	5.481319853655781	5.97263546405913	5.903656808830326	5.724206121682637
